"date","produced","destroyed","mining.value"
2013-07-22,2722417894365.38,983884697505.513,796746304399.387
2013-07-23,2840016777136.33,832053328062.965,849926229454.038
2013-07-24,2779511838503.45,870808564272.244,885616432663.915
2013-07-25,2601583688525.72,933655598873.208,899923818263.7
2013-07-26,2790519096909.85,905886569043.387,811010121827.002
2013-07-27,2759568850295.71,1033546159056.59,950117940156.896
2013-07-28,2896540800256.13,1296851231654.14,1028400801242.22
2013-07-29,2783151170438.15,1123512708076.96,804101703310.174
2013-07-30,2707722253977.32,1064790751000.89,831339339317.49
2013-07-31,2694544214810.06,877247524153.146,839745004573.5
2013-08-01,2723044685609.47,987143230051.73,866518868753.568
2013-08-02,2765377949383.1,1003064578057.66,794387892449.016
2013-08-04,3053994471633.01,1336935249447.45,986093466257.185
2013-08-05,2844285708826.16,966551998556.287,778407904917.663
2013-08-06,2829359087666.24,912336027151.312,826030441693.864
2013-08-07,2921307007256.28,1052589843542.05,868017058563.991
2013-08-08,2953998370801.35,911093171977.012,885478077929.039
2013-08-09,3145261575981.45,862249214890.264,818432886761.284
2013-08-10,3116661972945.37,1166423062614.28,947619778371.474
2013-08-11,3037304705075.68,1479277949805.96,989583438435.381
2013-08-12,2801105061916.03,863878774472.591,776426753067.849
2013-08-13,2865836806937.75,959451264117.018,818452355676.295
2013-08-14,2877944749556.94,787101189209.234,859486028469.426
2013-08-15,2708711412403.52,900849438750.853,869478731239.278
2013-08-16,2774574002502.08,935531290804.311,796015261920.876
2013-08-18,2709076153997.04,1158089736502.83,957036805740.892
2013-08-19,2755240038859.04,885736898966.699,752033906225.204
2013-08-20,3095731344571.78,864270478014.518,792999515642.758
2013-08-21,2871966278564.75,865634635462.754,801028736969.648
2013-08-22,2711110795401.08,840042695939.903,804271176199.85
2013-08-23,2688002173422.32,935354255242.313,747274646614.891
2013-08-24,2537766190729.1,1015606180744.39,873864057099.879
2013-08-25,2701283883858.68,1267323171937.16,936828594735.578
2013-08-26,2767995248297.63,872565302482.544,754293052749.434
2013-08-27,2624357271461.65,846240178320.656,759329695224.164
2013-08-28,2850016859209.34,697770125130.733,769709736559.169
2013-08-29,2423491360752.21,768678028778.045,790157081756.643
2013-08-30,2632568588283.91,812856462938.2,738673848520.221
2013-08-31,2807548110655.93,1001015336801.95,857149286896.947
2013-09-01,2970599935517.51,1188628640766.28,920588060670.482
2013-09-02,2783255939147.21,927384800362.037,773495845436.524
2013-09-03,2632197940451.67,647117437156.451,619441679582.527
2013-09-04,2713553219278.32,727371078638.312,732439361383.292
2013-09-05,2637844428081.12,708524872878.787,769338765325.283
2013-09-06,2422728524751.35,794168906965.627,750035499117.849
2013-09-07,2499133661839.67,1180734207103.01,892927510243.134
2013-09-08,2727383043577.67,1212976906839.65,852914579424.459
2013-09-09,2664429344997.54,753242363165.999,737847272508.059
2013-09-10,2691719779084.88,717306755272.998,733500475176.41
2013-09-11,2629638671332.11,682747351468.281,770232073347.943
2013-09-12,2675494574309.34,746587982814.965,791955514057.858
2013-09-13,2757359664055.99,778641035102.154,733568664829.091
2013-09-14,2573699830909.85,1231321040567.16,861593839396.079
2013-09-15,2507787995274.74,1164004292029.46,943623493168.203
2013-09-16,2797738874824.06,751023288068.768,742412774858.678
2013-09-17,2516739248753.82,729407014914.756,760941490263.337
2013-09-18,2587682874623.38,709683378295.022,764994252160.766
2013-09-19,2608394515451.04,697402245113.916,778834962817.02
2013-09-20,2657838923462.57,806441295577.418,734572521044.23
2013-09-21,2541302551316.17,1113138290534.03,866301430303.897
2013-09-22,2847972898698.13,1110078868745.67,909123941930.176
2013-09-23,2543503255839.91,765454708506.328,720406128216.656
2013-09-24,2819383174794.91,667224413099.14,758264141217.453
2013-09-25,2633233652496.23,814835163105.771,754718782091.504
2013-09-26,2372263964464.05,671349172491.444,754525616132.167
2013-09-27,2602883083666.89,1010540239567.95,736816251522.389
2013-09-28,2752949407112.86,1076727636320.95,850246974493.121
2013-09-29,2747053483586.65,1239084671822.69,911262139091.639
2013-09-30,2673328111325.23,743598602804.348,743581583013.569
2013-10-01,2839146704514.27,868379586251.56,733327910190.972
2013-10-02,2546800839290.52,794693772691.27,786287528453.453
2013-10-03,2674323240739.75,851489568424.308,865248715811.374
2013-10-04,2508909364765.45,956576796590.434,756753386013.911
